"Data
wyliczenia","Stawka","Wartość
obrotów
(w mln PLN)","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15"
2005-12-01,0.0445,2789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-02,0.0444,1315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-05,0.0442,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-06,0.0435,3902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-07,0.0421,3592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-08,0.0436,2350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-09,0.0428,3169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-12,0.0367,1675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-13,0.035,1513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-14,0.0365,3443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-15,0.0361,2734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-16,0.0453,5699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-19,0.0462,3763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-20,0.0455,3291.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-21,0.0444,2592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-22,0.0448,2390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-23,0.0395,2935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-27,0.036,4100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-28,0.0379,4453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-29,0.0334,2281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-30,0.0395,2328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-02,0.0447,2857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-03,0.0448,3709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-04,0.0452,2516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-05,0.0452,1213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-06,0.0447,2770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-09,0.0447,2215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-10,0.0442,2792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-11,0.0441,3457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-12,0.0443,2370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-13,0.0445,2583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-16,0.0439,4038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-17,0.0443,4510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-18,0.0443,3886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-19,0.0445,3764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-20,0.0344,4459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-23,0.04,3495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-24,0.045,5600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-25,0.0452,5310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-26,0.046,4432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-27,0.045,2910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-30,0.04,5398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-31,0.0432,2855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-01,0.0426,3737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-02,0.0431,3689.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-03,0.0428,3245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-06,0.0426,3036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-07,0.0424,3330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-08,0.0421,2640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-09,0.0425,4085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-10,0.0429,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
